id,zip,street_city_state,name,address_full,geocoded_address,lat,lon
106,55904,808 SOUTH BROADWAY BEST BUY PLAZA ROCHESTER MN ,"PAYDAY AMERICA, INC. ",808 SOUTH BROADWAY BEST BUY PLAZA ROCHESTER MN  55904,"808 S Broadway, Rochester Township, MN 55904",44.014996,-92.462204
35,55432,8097 HIGHWAY 65 NE SPRING LAKE PARK  MN,"SJB ENTERPRISES, INC DBA YOUR EXCHANGE   ",8097 HIGHWAY 65 NE SPRING LAKE PARK  MN 55432,"8097 Central Ave NE, Minneapolis, MN 55432",45.114601,-93.241127
111,55426,8132 HIGHWAY 7 ST. LOUIS PARK MN,ACE MINNESOTA CORP.  ,8132 HIGHWAY 7 ST. LOUIS PARK MN 55426,"8132 MN-7 W, Minneapolis, MN 55426",44.936233,-93.382237
98,55066,816 MAIN STREET RED WING MN,"E-Z OWN FINANCING, INC.  ",816 MAIN STREET RED WING MN 55066,"816 W Main St, Red Wing, MN 55066",44.564026,-92.540253
36,55432,8187 B UNIVERSITY AVENUE SPRING LAKE PARK  MN ,"SJB ENTERPRISES, INC. DBA YOUR EXCHANGE   ",8187 B UNIVERSITY AVENUE SPRING LAKE PARK  MN  55432,"8187 University Ave NE, Minneapolis, MN 55432",45.116512,-93.263146
28,56560,819 30TH AVENUE SOUTH SUITE 204  MOORHEAD  MN,"GREENBACKS, INC.   ",819 30TH AVENUE SOUTH SUITE 204  MOORHEAD  MN 56560,"819 S 30th Ave, Moorhead, MN 56560",46.843586,-96.7668
67,55344,8250 COMMONWEALTH DRIVE EDEN PRAIRIE MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",8250 COMMONWEALTH DRIVE EDEN PRAIRIE MN 55344,"8250 Commonwealth Dr, Eden Prairie, MN 55344",44.854089,-93.433101
127,55125,"8300 TAMARACK VILLAGE TAMARACK VIL SC, SUITE 112 WOODBURY MN","ONEMAIN FINANCIAL SERVICES, INC.  ","8300 TAMARACK VILLAGE TAMARACK VIL SC, SUITE 112 WOODBURY MN 55125",,,
48,55420,8565 LYNDALE AVENUE SOUTH BLOOMINGTON MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",8565 LYNDALE AVENUE SOUTH BLOOMINGTON MN 55420,"8565 Lyndale Ave S, Minneapolis, MN 55420",44.849053,-93.288393
49,55420,8650 LYNDALE AVENUE SOUTH BLOOMINGTON MN,"PAYDAY AMERICA, INC.  ",8650 LYNDALE AVENUE SOUTH BLOOMINGTON MN 55420,"8650 Lyndale Ave S, Minneapolis, MN 55420",44.846622,-93.289322
39,55101,942 PAYNE AVENUE ST. PAUL  MN,"CHECKS R US, INC.    ",942 PAYNE AVENUE ST. PAUL  MN 55101,"942 Payne Ave, St Paul, MN 55130",44.969673,-93.073204
