id,zip,street_city_state,name,address_full,geocoded_address,lat,lon
68,56031,123 EAST 3RD STREET FAIRMONT MN,"E-Z OWN FINANCING, INC.  ",123 EAST 3RD STREET FAIRMONT MN 56031,"123 E 3rd St, Fairmont, MN 56031",43.654999,-94.461189
70,55744,1237 SO. POKEGAMA AVENUE POKEGAMA PLAZA SHOPPING CENTER GRAND RAPIDS MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1237 SO. POKEGAMA AVENUE POKEGAMA PLAZA SHOPPING CENTER GRAND RAPIDS MN 55744,,,
12,55720,1304 CLOQUET AVENUE  CLOQUET MN,S&P LOAN CO.   ,1304 CLOQUET AVENUE  CLOQUET MN 55720,"1304 MN-45, Cloquet, MN 55720",46.721609,-92.449981
95,55060,131 WEST BROADWAY OWATONNA MN,"E-Z OWN FINANCING, INC. ",131 WEST BROADWAY OWATONNA MN 55060,"131 W Broadway St, Owatonna, MN 55060",44.084789,-93.226959
58,55337,13965 GRAND AVENUE BURNSVILLE MN,"PAYDAY AMERICA, INC.  ",13965 GRAND AVENUE BURNSVILLE MN 55337,"13965 Grand Ave, Burnsville, MN 55337",44.749466,-93.283951
124,55118,1399 SOUTH ROBERT STREET WEST ST. PAUL MN,"PAYDAY AMERICA, INC.  ",1399 SOUTH ROBERT STREET WEST ST. PAUL MN 55118,"1399 S Robert St, St Paul, MN 55118",44.904045,-93.081123
125,56201,"1415 SOUTH FIRST STREET, SUITE 2 WILLMAR MN ","ONEMAIN FINANCIAL SERVICES, INC. ","1415 SOUTH FIRST STREET, SUITE 2 WILLMAR MN  56201","1415 US-71 Branch, Willmar, MN 56201",45.107681,-95.041817
4,55449,1434 93RD LANE BLAINE  MN,"AL'$ CHECK CASHING, LLC    ",1434 93RD LANE BLAINE  MN 55449,"1434 93rd Ln NE, Minneapolis, MN 55449",45.139965,-93.234046
99,55066,144 TYLER ROAD NORTH RED WING MN,"MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED  ",144 TYLER ROAD NORTH RED WING MN 55066,"144 Tyler Rd N, Red Wing, MN 55066",44.568813,-92.58492
45,56425,"14695 EDGEWOOD DRIVE, SUITE 120 NORTH POINTE CENTRE PHASE II BAXTER MN","ONEMAIN FINANCIAL SERVICES, INC.  ","14695 EDGEWOOD DRIVE, SUITE 120 NORTH POINTE CENTRE PHASE II BAXTER MN 56425",,,
122,56387,147 DIVISION STREET WAITE PARK MN,UNLOAN CORPORATION  ,147 DIVISION STREET WAITE PARK MN 56387,"147 Division St, Waite Park, MN 56387",45.553925,-94.218224
123,55118,149 EAST THOMPSON AVENUE SUITE 202 WEST ST. PAUL MN,CITYWIDE FINANCE COMPANY INC  ,149 EAST THOMPSON AVENUE SUITE 202 WEST ST. PAUL MN 55118,"149 Thompson Ave E, St Paul, MN 55118",44.902027,-93.078773
